year,city,quantidade_registros,area_ha_total
2022,MAJOR GERCINO,4,5.3643
2022,MAJOR VIEIRA,2,3.0634
2022,MARACAJA,2,0.712
2022,MARAVILHA,4,3.2351
2022,MAREMA,1,3.4201
2022,MASSARANDUBA,1,1.4742
2022,MATOS COSTA,3,7.7268
2022,MONDAI,2,2.0599
2022,MONTE CASTELO,4,8.7046
2022,NAVEGANTES,1,1.9362
2022,NOVA ITABERABA,3,3.4646
2022,NOVA VENEZA,1,0.5174
2022,NOVO HORIZONTE,4,4.0341
2022,ORLEANS,11,10.1404
2022,OTACILIO COSTA,9,19.5534
2022,OURO,12,10.8551
2022,OURO VERDE,3,1.421
2022,PALHOCA,2,7.8489
2022,PALMA SOLA,2,1.3561
2022,PALMEIRA,4,11.1666
2022,PALMITOS,7,6.2576
2022,PAPANDUVA,6,17.3126
2022,PARAISO,5,8.9904
2022,PASSOS MAIA,13,57.4959
2022,PEDRAS GRANDES,2,2.2032
2022,PENHA,2,10.1237
2022,PERITIBA,8,9.4232
2022,PETROLANDIA,5,13.6598
2022,PINHALZINHO,4,2.6542
2022,PIRATUBA,3,2.5338
2022,PLANALTO ALEGRE,3,1.7766
2022,PONTE ALTA,2,1.752
2022,PONTE ALTA DO NORTE,1,1.0183
2022,PONTE SERRADA,7,51.6622
2022,PORTO UNIAO,1,5.0539
2022,POUSO REDONDO,1,0.7862
2022,PRESIDENTE CASTELLO BRANCO,7,10.4078
2022,PRESIDENTE GETULIO,2,9.6346
2022,PRESIDENTE NEREU,1,0.4187
2022,QUILOMBO,4,2.1748
2022,RANCHO QUEIMADO,4,2.1834
2022,RIO DAS ANTAS,3,2.2115
2022,RIO DO CAMPO,3,1.657
2022,RIO DO OESTE,2,0.7758
2022,RIO DO SUL,1,0.7488
2022,RIO DOS CEDROS,2,7.9732
2022,RIO FORTUNA,2,2.7859
2022,RIO NEGRINHO,7,17.3764
2022,RIQUEZA,5,14.4784
2022,ROMELANDIA,3,1.8874
2022,SALTINHO,4,6.5499
2022,SANTA CECILIA,12,40.8284
2022,SANTA HELENA,4,3.5907
2022,SANTA ROSA DE LIMA,1,0.4095
2022,SANTA TEREZINHA,13,21.8993
2022,SANTIAGO DO SUL,1,2.4582
2022,SANTO AMARO DA IMPERATRIZ,1,0.567
2022,SAO BENTO DO SUL,2,3.0948
2022,SAO BONIFACIO,2,2.9468
2022,SAO CRISTOVAO DO SUL,1,13.6033
2022,SAO DOMINGOS,5,3.5561
2022,SAO FRANCISCO DO SUL,1,2.2081
2022,SAO JOAO BATISTA,2,8.8865
2022,SAO JOAO DO OESTE,1,0.2785
2022,SAO JOAQUIM,7,5.8732
2022,SAO JOSE,1,1.3461
2022,SAO JOSE DO CEDRO,3,2.4568
2022,SAO JOSE DO CERRITO,33,160.0001
2022,SAO LOURENCO DO OESTE,9,8.9159
2022,SAO LUDGERO,4,4.167
2022,SAO MARTINHO,3,4.8018
2022,SAO MIGUEL DA BOA VISTA,4,8.4447
2022,SAO MIGUEL DO OESTE,2,2.8654
2022,SAO PEDRO DE ALCANTARA,1,1.4368
2022,SAUDADES,3,5.0423
2022,SEARA,3,5.3005
2022,SERRA ALTA,6,6.0377
2022,SUL BRASIL,5,4.3829
2022,TAIO,3,8.0575
2022,TANGARA,4,5.5243
2022,TIGRINHOS,1,0.467
2022,TIMBO GRANDE,7,28.6915
