year,city,quantidade_total_uc,area_total_desmat
2023,IOMERE,0,0.5296
2023,IPIRA,0,3.4836
2023,IPORA DO OESTE,0,6.8499
2023,IPUMIRIM,0,6.382
2023,IRACEMINHA,0,2.7004
2023,IRANI,0,3.1171
2023,ITA,0,0.788
2023,ITAIOPOLIS,10,22.456
2023,ITAJAI,8,4.9242
2023,ITAPEMA,0,0.6327
2023,ITAPIRANGA,0,2.3602
2023,ITUPORANGA,1,10.0825
2023,JABORA,1,3.8804
2023,JARAGUA DO SUL,1,5.6015
2023,JARDINOPOLIS,0,0.7731
2023,JOACABA,1,0.9341
2023,JOINVILLE,9,0.734
2023,LACERDOPOLIS,0,0.6171
2023,LAGES,1,17.4205
2023,LEBON REGIS,0,16.5796
2023,LEOBERTO LEAL,1,4.526
2023,LINDOIA DO SUL,0,2.09
2023,LUZERNA,0,0.5276
2023,MACIEIRA,0,3.9605
2023,MAFRA,0,15.8546
2023,MAJOR GERCINO,1,1.5033
2023,MAJOR VIEIRA,0,1.751
2023,MARACAJA,0,0.8918
2023,MIRIM DOCE,0,1.5077
2023,MODELO,0,0.3491
2023,MONDAI,0,1.716
2023,MONTE CARLO,0,0.4891
2023,MONTE CASTELO,0,1.7725
2023,MORRO DA FUMACA,0,0.9786
2023,NOVA ERECHIM,0,0.3831
2023,NOVA ITABERABA,0,0.3967
2023,NOVO HORIZONTE,0,1.2797
2023,ORLEANS,0,17.7261
2023,OTACILIO COSTA,0,5.9105
2023,OURO,0,7.7064
2023,OURO VERDE,0,1.0237
2023,PALHOCA,1,1.2812
2023,PALMA SOLA,0,1.2898
2023,PALMEIRA,0,13.0672
2023,PALMITOS,0,1.458
2023,PAPANDUVA,0,1.2162
2023,PARAISO,0,4.0494
2023,PASSOS MAIA,1,9.6402
2023,PEDRAS GRANDES,0,0.5795
2023,PERITIBA,0,4.1802
2023,PETROLANDIA,0,6.246
2023,PLANALTO ALEGRE,0,0.2357
2023,PONTE ALTA,0,4.7772
2023,PONTE ALTA DO NORTE,0,4.3899
